Date,No of Leads,Time Spent on LG (in mins)
09-01-2023,2,300
10-01-2023,1,300
11-01-2023,5,300
12-01-2023,4,300
13-01-2023,5,300
14-01-2023,,
15-01-2023,,
16-01-2023,5,300
17-01-2023,0,300
18-01-2023,10,300
19-01-2023,7,300
20-01-2023,6,300
21-01-2023,,
22-01-2023,,
23-01-2023,10,300
24-01-2023,7,300
25-01-2023,1,300
26-01-2023,5,300
27-01-2023,4,300
28-01-2023,,
29-01-2023,,
30-01-2023,4,300
31-01-2023,0,300
01-02-2023,7,300
02-02-2023,3,300
03-02-2023,4,300
04-02-2023,,
05-02-2023,,
06-02-2023,10,300
07-02-2023,9,300
08-02-2023,8,300
09-02-2023,4,540
10-02-2023,3,540
11-02-2023,,
12-02-2023,,
13-02-2023,15,540
14-02-2023,12,540
15-02-2023,4,540
16-02-2023,10,540
17-02-2023,11,540
18-02-2023,,
19-02-2023,,
20-02-2023,5,300
21-02-2023,2,300
22-02-2023,9,300
23-02-2023,14,390
24-02-2023,1,60
25-02-2023,,
26-02-2023,,
27-02-2023,9,360
28-02-2023,12,360
01-03-2023,3,360
02-03-2023,15,420
03-03-2023,0,0
04-03-2023,,
05-03-2023,,
06-03-2023,15,360
07-03-2023,10,360
08-03-2023,4,360
09-03-2023,7,300
10-03-2023,,
21-01-2023,,
22-01-2023,,
23-01-2023,10,540
24-01-2023,8,400
25-01-2023,8,400
26-01-2023,,
27-01-2023,6,400
28-01-2023,,
29-01-2023,,
30-01-2023,,12
31-01-2023,,5
01-02-2023,,15
02-02-2023,,15
03-02-2023,,5
04-02-2023,,
05-02-2023,,
06-02-2023,,4
07-02-2023,,2
08-02-2023,,0
09-02-2023,,0
10-02-2023,,14
